Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,16230,353.9717,30,117071,5.21
YyS7cqFRUvI,Happy Days Theme (Sitcom Cover) - Dead Dogs 50's Party,"Jul 27, 2016",4525,62.2347,0,18116,10.4
2_44dIc7J0k,Get Over It (Eagles Cover) - Dead Dogs 2017 1st Country Event,"Jul 14, 2017",1404,28.0452,2,5687,9.18
coeL6tmZ-ow,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2018 Halloween Party","Mar 4, 2019",763,19.6382,1,6677,7.64
wFeYRHSxT2w,Get Over It (Eagles Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",508,8.6663,0,8473,3.53
Q9LfyV8U80g,Country As Boy Can Be (Brady Seals Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",257,7.2635,0,1428,4.9
pF-XLtJF8Zo,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2017 1st Country Event","Jul 12, 2017",202,4.1887,0,2385,4.11
OjQcBuEo7WE,High Voltage (AC/DC Cover) - Dead Dogs Camilla's Degree Party,"Jul 28, 2017",193,12.2905,0,1220,5.98
mSMAb8gzsyE,Harden My Heart (Quarterflash Cover) - Dead Dogs 50's Party,"Jul 27, 2016",193,3.2693,0,1092,3.85
Yza22aFs45g,Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",176,3.9958,0,1347,2.15
mu6ksUWAtFY,Waterloo (Abba Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",175,2.6387,0,1421,5.91
eplD0ETmqcg,Call Me The Breeze (J.J. Cale Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",170,7.1826,4,881,9.08
ep60OAxxi_M,Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",157,6.2327,0,368,1.63
TM1g9NfG4Xs,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs Camilla's Degree Party","Oct 18, 2016",156,2.3498,0,2783,3.67
N28-rGaUiSs,Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",155,6.5324,1,451,6.87
3h5EOcrL6gY,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover), Bis - Dead Dogs 50's Party","Jul 28, 2016",149,2.4535,0,2833,2.47
29laglX3M1g,Svalutation (Adriano Celentano Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",142,3.0329,0,2084,4.46
Qv-_bVONRuo,Kiss (Prince Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",141,3.8462,0,1047,5.25
ZaOBtrrOg1s,Man! I Feel Like A Woman (Shania Twain Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",138,3.6636,0,1107,2.08
ctp7YhpP0R4,Harden My Heart (Quarterflash Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",137,2.2261,0,475,5.26
J244sOtyDJE,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2016 Christmas Party","Jan 24, 2017",133,1.6103,0,2084,4.51
P7gcRwc6Sx0,I Saw Her Standing There (The Beatles Cover) - Dead Dogs 50's Party,"Jul 27, 2016",127,2.5006,0,232,4.74
jMniemp4CXw,I'm No Good (For Ya Baby) (Laura Bell Bundy Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",127,4.3334,1,599,2.84
bWWXHGUM7ms,Sweet About Me (Gabriella Cilmi Cover) - Dead Dogs 50's Party,"Jul 27, 2016",126,2.5959,0,243,3.7
_sTdjWjqeVk,Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs 50's Party,"Jul 28, 2016",123,4.0973,0,285,2.81
rZfCO3Jxb5E,Whole Lotta Shakin' Goin' On (Jerry Lee Lewis Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",120,4.2144,1,1583,4.17
wp3GglNQUV0,Take It Easy (Eagles Cover) - Dead Dogs 50's Party,"Jul 28, 2016",115,4.1507,0,304,6.91
Z-q4VTe_g8k,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 50's Party","Jul 28, 2016",109,1.5278,0,1640,2.8
h7we9nvKu68,Wild Night (Van Morrison Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",108,2.9303,0,269,3.35
pIKTBYgRDkY,Monna Lisa (Ivan Graziani Cover) - Dead Dogs 50's Party,"Jul 28, 2016",107,4.6241,0,337,4.15
1dlfIL0UX0c,One Way Or Another (Blondie Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",106,3.176,0,313,2.56
ftFbtU5TN0I,Happy Days Theme (Sitcom Cover) & Final Presentation - Dead Dogs 50's Party,"Jul 28, 2016",106,1.3652,0,1163,2.84
AORFpaTYm4o,High Voltage (AC/DC Cover) - Dead Dogs 50's Party,"Jul 28, 2017",105,4.6884,0,1003,3.59
cwwESMc_qqs,Don't Stop Me Now (Queen Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",92,2.4099,0,856,4.21
iio_N8yHKJg,I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",87,1.8716,0,224,1.34
_pmXrPPgsrA,I Saw Her Standing There (The Beatles Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",86,2.6131,0,166,3.01
zyWHFhmv638,We Will Rock You (Queen Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",86,2.3967,1,1041,3.65
ortKplaDC_k,Rock Around The Clock (Bill Haley & His Comets Cover) - Dead Dogs 50's Party,"Jul 27, 2016",84,0.9612,0,421,1.9
q2wmXFqh0P4,You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",84,2.2173,0,267,4.49
7b8nt_5SIOM,Highway To Hell (AC/DC Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",83,2.8798,0,580,5.86
WOft2Kq3RLE,Gold On The Ceiling (The Black Keys Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",83,2.9147,0,192,3.65
uXErr-IFft0,Waterloo (Abba Cover) - Dead Dogs 2017 Rehearsals,"Aug 26, 2020",83,1.3516,0,1206,4.81
Y8KaNNdLP8I,"Don't Stop Me Now (Queen Cover), Bis - Dead Dogs 2017 Christmas Party","Dec 28, 2017",78,1.7797,0,815,4.05
FMkS1dsHbe0,Eppur Mi Son Scordato Di Te (Lucio Battisti/Formula 3 Cover) - Dead Dogs 2018 Halloween Party,"Mar 4, 2019",77,1.1117,0,950,4.74
kNiDllz-qfA,Rag Doll (Aerosmith Cover) - Dead Dogs Cristina's 50th Birthday Party,"Nov 23, 2019",75,1.5248,0,901,5.55
au27OHhk89g,Burning Love (Elvis Presley Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",73,1.6278,0,405,3.7
o-NDGtL8zZU,Black Horse And The Cherry Tree (KT Tunstall Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",73,1.6717,0,239,1.26
69bjzNhq1v4,Rag Doll (Aerosmith Cover) - Dead Dogs Martina's 18th Birthday Party,"May 13, 2019",72,1.7887,0,758,5.94
IJOubaRy2XM,Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",72,2.6032,0,102,11.76
Y2qsehr_r00,My Sharona (The Knack Cover) - Dead Dogs 50's Party,"Jul 28, 2016",72,2.3022,0,166,1.81
ZZp_kf68x3o,Are You Gonna Be My Girl (Jet Cover) - Dead Dogs 2017 Rehearsals,"Aug 22, 2020",72,2.0849,0,494,3.85
